# Run started 2018-06-28 10:01:23 
# Command: motif-finder.py --database ../../gtpase-sensor/data/scer_orf_trans_all.fasta --pssm rudiger --report --threshold 12.15 --out ../data/scer-motifs-summary-r12_15.txt
# Parameters:
#	fasta_fname: ../../gtpase-sensor/data/scer_orf_trans_all.fasta
#	protein_id: None
#	sequence: None
#	pssm_name: rudiger
#	translate: False
#	score_threshold: 12.15
#	maximum_frequency_bin: 10
#	degap: False
#	write_report: True
#	mask_sequences: False
#	out_fname: ../data/scer-motifs-summary-r12_15.txt
orf	num.sites	num.motifs	prop.sites	max.score	num.motifs.1	num.motifs.2	num.motifs.3	num.motifs.4	num.motifs.5	num.motifs.6	num.motifs.7	num.motifs.8	num.motifs.9	num.motifs.10	num.motifs.longer
YAL001C	1	1	0.001	12.800	1	0	0	0	0	0	0	0	0	0	0
YAL002W	6	5	0.005	13.540	4	1	0	0	0	0	0	0	0	0	0
YAL003W	0	0	0.000	6.800	0	0	0	0	0	0	0	0	0	0	0
YAL004W	1	1	0.005	12.330	1	0	0	0	0	0	0	0	0	0	0
YAL005C	1	1	0.002	13.430	1	0	0	0	0	0	0	0	0	0	0
YAL007C	0	0	0.000	11.750	0	0	0	0	0	0	0	0	0	0	0
YAL008W	0	0	0.000	9.820	0	0	0	0	0	0	0	0	0	0	0
YAL009W	0	0	0.000	11.920	0	0	0	0	0	0	0	0	0	0	0
YAL010C	1	1	0.002	12.310	1	0	0	0	0	0	0	0	0	0	0
YAL011W	3	1	0.005	14.740	0	0	1	0	0	0	0	0	0	0	0
YAL012W	0	0	0.000	11.550	0	0	0	0	0	0	0	0	0	0	0
YAL013W	0	0	0.000	10.360	0	0	0	0	0	0	0	0	0	0	0
YAL014C	5	2	0.020	16.840	1	0	0	1	0	0	0	0	0	0	0
YAL015C	0	0	0.000	11.850	0	0	0	0	0	0	0	0	0	0	0
YAL016C-A	1	1	0.010	17.010	1	0	0	0	0	0	0	0	0	0	0
YAL016C-B	1	1	0.016	12.550	1	0	0	0	0	0	0	0	0	0	0
YAL016W	1	1	0.002	15.380	1	0	0	0	0	0	0	0	0	0	0
YAL017W	3	2	0.002	13.750	1	1	0	0	0	0	0	0	0	0	0
YAL018C	1	1	0.003	13.210	1	0	0	0	0	0	0	0	0	0	0
YAL019W	3	2	0.003	13.320	1	1	0	0	0	0	0	0	0	0	0
YAL019W-A	1	1	0.005	12.680	1	0	0	0	0	0	0	0	0	0	0
YAL020C	0	0	0.000	10.410	0	0	0	0	0	0	0	0	0	0	0
YAL021C	1	1	0.001	16.950	1	0	0	0	0	0	0	0	0	0	0
YAL022C	3	2	0.006	14.240	1	1	0	0	0	0	0	0	0	0	0
YAL023C	3	1	0.004	17.540	0	0	1	0	0	0	0	0	0	0	0
YAL024C	4	3	0.003	13.430	2	1	0	0	0	0	0	0	0	0	0
YAL025C	1	1	0.003	12.620	1	0	0	0	0	0	0	0	0	0	0
YAL026C	5	4	0.004	14.790	3	1	0	0	0	0	0	0	0	0	0
YAL026C-A	1	1	0.007	15.210	1	0	0	0	0	0	0	0	0	0	0
YAL027W	0	0	0.000	10.520	0	0	0	0	0	0	0	0	0	0	0
YAL028W	0	0	0.000	9.840	0	0	0	0	0	0	0	0	0	0	0
YAL029C	4	4	0.003	13.390	4	0	0	0	0	0	0	0	0	0	0
YAL030W	0	0	0.000	9.700	0	0	0	0	0	0	0	0	0	0	0
YAL031C	0	0	0.000	10.830	0	0	0	0	0	0	0	0	0	0	0
YAL031W-A	0	0	0.000	11.610	0	0	0	0	0	0	0	0	0	0	0
YAL032C	0	0	0.000	9.230	0	0	0	0	0	0	0	0	0	0	0
YAL033W	0	0	0.000	10.290	0	0	0	0	0	0	0	0	0	0	0
YAL034C	0	0	0.000	10.490	0	0	0	0	0	0	0	0	0	0	0
YAL034C-B	1	1	0.009	13.410	1	0	0	0	0	0	0	0	0	0	0
YAL034W-A	4	1	0.014	15.830	0	0	0	1	0	0	0	0	0	0	0
YAL035W	1	1	0.001	12.810	1	0	0	0	0	0	0	0	0	0	0
YAL036C	0	0	0.000	11.830	0	0	0	0	0	0	0	0	0	0	0
YAL037C-A	0	0	0.000	10.240	0	0	0	0	0	0	0	0	0	0	0
YAL037C-B	2	1	0.006	14.450	0	1	0	0	0	0	0	0	0	0	0
YAL037W	0	0	0.000	11.350	0	0	0	0	0	0	0	0	0	0	0
YAL038W	0	0	0.000	11.920	0	0	0	0	0	0	0	0	0	0	0
YAL039C	0	0	0.000	10.060	0	0	0	0	0	0	0	0	0	0	0
YAL040C	0	0	0.000	12.030	0	0	0	0	0	0	0	0	0	0	0
YAL041W	0	0	0.000	11.630	0	0	0	0	0	0	0	0	0	0	0
YAL042C-A	0	0	0.000	12.110	0	0	0	0	0	0	0	0	0	0	0
YAL042W	1	1	0.002	13.290	1	0	0	0	0	0	0	0	0	0	0
YAL043C	5	5	0.006	13.870	5	0	0	0	0	0	0	0	0	0	0
YAL044C	0	0	0.000	11.000	0	0	0	0	0	0	0	0	0	0	0
YAL044W-A	0	0	0.000	10.090	0	0	0	0	0	0	0	0	0	0	0
YAL045C	0	0	0.000	11.420	0	0	0	0	0	0	0	0	0	0	0
YAL046C	0	0	0.000	10.200	0	0	0	0	0	0	0	0	0	0	0
YAL047C	0	0	0.000	11.660	0	0	0	0	0	0	0	0	0	0	0
YAL047W-A	1	1	0.009	12.780	1	0	0	0	0	0	0	0	0	0	0
YAL048C	1	1	0.002	14.490	1	0	0	0	0	0	0	0	0	0	0
YAL049C	0	0	0.000	11.070	0	0	0	0	0	0	0	0	0	0	0
YAL051W	3	2	0.003	16.390	1	1	0	0	0	0	0	0	0	0	0
YAL053W	7	4	0.009	15.190	2	1	1	0	0	0	0	0	0	0	0
YAL054C	7	5	0.010	15.230	3	2	0	0	0	0	0	0	0	0	0
YAL055W	0	0	0.000	10.920	0	0	0	0	0	0	0	0	0	0	0
YAL056C-A	0	0	0.000	11.330	0	0	0	0	0	0	0	0	0	0	0
YAL056W	0	0	0.000	11.240	0	0	0	0	0	0	0	0	0	0	0
YAL058W	0	0	0.000	11.200	0	0	0	0	0	0	0	0	0	0	0
YAL059C-A	1	1	0.007	14.510	1	0	0	0	0	0	0	0	0	0	0
YAL059W	2	2	0.009	13.660	2	0	0	0	0	0	0	0	0	0	0
YAL060W	0	0	0.000	10.250	0	0	0	0	0	0	0	0	0	0	0
YAL061W	0	0	0.000	11.460	0	0	0	0	0	0	0	0	0	0	0
YAL062W	0	0	0.000	9.350	0	0	0	0	0	0	0	0	0	0	0
YAL063C	0	0	0.000	11.480	0	0	0	0	0	0	0	0	0	0	0
YAL063C-A	2	2	0.021	14.420	2	0	0	0	0	0	0	0	0	0	0
YAL064C-A	0	0	0.000	7.550	0	0	0	0	0	0	0	0	0	0	0
YAL064W	0	0	0.000	9.600	0	0	0	0	0	0	0	0	0	0	0
YAL064W-B	0	0	0.000	9.170	0	0	0	0	0	0	0	0	0	0	0
YAL065C	0	0	0.000	11.130	0	0	0	0	0	0	0	0	0	0	0
YAL066W	0	0	0.000	11.310	0	0	0	0	0	0	0	0	0	0	0
YAL067C	3	3	0.005	13.860	3	0	0	0	0	0	0	0	0	0	0
YAL067W-A	0	0	0.000	11.760	0	0	0	0	0	0	0	0	0	0	0
YAL068C	0	0	0.000	6.090	0	0	0	0	0	0	0	0	0	0	0
YAL068W-A	0	0	0.000	11.210	0	0	0	0	0	0	0	0	0	0	0
YAL069W	0	0	0.000	9.820	0	0	0	0	0	0	0	0	0	0	0
YAR002C-A	0	0	0.000	9.990	0	0	0	0	0	0	0	0	0	0	0
YAR002W	0	0	0.000	9.760	0	0	0	0	0	0	0	0	0	0	0
YAR003W	2	1	0.005	12.970	0	1	0	0	0	0	0	0	0	0	0
YAR007C	1	1	0.002	13.270	1	0	0	0	0	0	0	0	0	0	0
YAR008W	1	1	0.004	12.300	1	0	0	0	0	0	0	0	0	0	0
YAR009C	4	4	0.003	13.770	4	0	0	0	0	0	0	0	0	0	0
YAR010C	0	0	0.000	11.600	0	0	0	0	0	0	0	0	0	0	0
YAR014C	0	0	0.000	9.770	0	0	0	0	0	0	0	0	0	0	0
YAR015W	1	1	0.003	12.450	1	0	0	0	0	0	0	0	0	0	0
YAR018C	2	1	0.005	12.680	0	1	0	0	0	0	0	0	0	0	0
YAR019C	2	2	0.002	13.940	2	0	0	0	0	0	0	0	0	0	0
YAR019W-A	0	0	0.000	8.070	0	0	0	0	0	0	0	0	0	0	0
